speciesCode,hideFlags,obsDt,subnational1Code,howManyAtleast,howManyAtmost,present,subId,projId,obsId,howManyStr,protocolId,locId,checklistId,userDisplayName
cangoo,[],2024-09-29 08:42,US-IL,7,7,False,S196904601,EBIRD,OBS2497747374,7,P22,L152612,CL23300,Cameron Rutt
ribgul,[],2024-09-29 08:42,US-IL,4,4,False,S196904601,EBIRD,OBS2497747339,4,P22,L152612,CL23300,Cameron Rutt
hergul,[],2024-09-29 08:42,US-IL,2,2,False,S196904601,EBIRD,OBS2497747360,2,P22,L152612,CL23300,Cameron Rutt
doccor,[],2024-09-29 08:42,US-IL,2,2,False,S196904601,EBIRD,OBS2497766729,2,P22,L152612,CL23300,Cameron Rutt
coohaw,[],2024-09-29 08:42,US-IL,2,2,False,S196904601,EBIRD,OBS2497747375,2,P22,L152612,CL23300,Cameron Rutt
reshaw,[],2024-09-29 08:42,US-IL,1,1,False,S196904601,EBIRD,OBS2497747341,1,P22,L152612,CL23300,Cameron Rutt
yebsap,[],2024-09-29 08:42,US-IL,4,4,False,S196904601,EBIRD,OBS2497747363,4,P22,L152612,CL23300,Cameron Rutt
dowwoo,[],2024-09-29 08:42,US-IL,2,2,False,S196904601,EBIRD,OBS2497766728,2,P22,L152612,CL23300,Cameron Rutt
norfli,[],2024-09-29 08:42,US-IL,4,4,False,S196904601,EBIRD,OBS2497747343,4,P22,L152612,CL23300,Cameron Rutt
perfal,[],2024-09-29 08:42,US-IL,1,1,False,S196904601,EBIRD,OBS2497747369,1,P22,L152612,CL23300,Cameron Rutt
easpho,[],2024-09-29 08:42,US-IL,4,4,False,S196904601,EBIRD,OBS2497747335,4,P22,L152612,CL23300,Cameron Rutt
bkcchi,[],2024-09-29 08:42,US-IL,9,9,False,S196904601,EBIRD,OBS2497747340,9,P22,L152612,CL23300,Cameron Rutt
ruckin,[],2024-09-29 08:42,US-IL,8,8,False,S196904601,EBIRD,OBS2497747359,8,P22,L152612,CL23300,Cameron Rutt
gockin,[],2024-09-29 08:42,US-IL,8,8,False,S196904601,EBIRD,OBS2497747348,8,P22,L152612,CL23300,Cameron Rutt
brncre,[],2024-09-29 08:42,US-IL,8,8,False,S196904601,EBIRD,OBS2497747354,8,P22,L152612,CL23300,Cameron Rutt
houwre,[],2024-09-29 08:42,US-IL,1,1,False,S196904601,EBIRD,OBS2497747334,1,P22,L152612,CL23300,Cameron Rutt
winwre3,[],2024-09-29 08:42,US-IL,1,1,False,S196904601,EBIRD,OBS2497747355,1,P22,L152612,CL23300,Cameron Rutt
eursta,[],2024-09-29 08:42,US-IL,15,15,False,S196904601,EBIRD,OBS2497747344,15,P22,L152612,CL23300,Cameron Rutt
grycat,[],2024-09-29 08:42,US-IL,2,2,False,S196904601,EBIRD,OBS2497747352,2,P22,L152612,CL23300,Cameron Rutt
brnthr,[],2024-09-29 08:42,US-IL,3,3,False,S196904601,EBIRD,OBS2497747367,3,P22,L152612,CL23300,Cameron Rutt
swathr,[],2024-09-29 08:42,US-IL,3,3,False,S196904601,EBIRD,OBS2497747351,3,P22,L152612,CL23300,Cameron Rutt
herthr,[],2024-09-29 08:42,US-IL,1,1,False,S196904601,EBIRD,OBS2497747350,1,P22,L152612,CL23300,Cameron Rutt
cathus,[],2024-09-29 08:42,US-IL,1,1,False,S196904601,EBIRD,OBS2497747373,1,P22,L152612,CL23300,Cameron Rutt
woothr,[],2024-09-29 08:42,US-IL,1,1,False,S196904601,EBIRD,OBS2497747358,1,P22,L152612,CL23300,Cameron Rutt
houfin,[],2024-09-29 08:42,US-IL,1,1,False,S196904601,EBIRD,OBS2497747333,1,P22,L152612,CL23300,Cameron Rutt
amegfi,[],2024-09-29 08:42,US-IL,25,25,False,S196904601,EBIRD,OBS2497747362,25,P22,L152612,CL23300,Cameron Rutt
daejun,[],2024-09-29 08:42,US-IL,3,3,False,S196904601,EBIRD,OBS2497747345,3,P22,L152612,CL23300,Cameron Rutt
whcspa,[],2024-09-29 08:42,US-IL,29,29,False,S196904601,EBIRD,OBS2497747366,29,P22,L152612,CL23300,Cameron Rutt
whtspa,[],2024-09-29 08:42,US-IL,90,90,False,S196904601,EBIRD,OBS2497747372,90,P22,L152612,CL23300,Cameron Rutt
savspa,[],2024-09-29 08:42,US-IL,2,2,False,S196904601,EBIRD,OBS2497747356,2,P22,L152612,CL23300,Cameron Rutt
sonspa,[],2024-09-29 08:42,US-IL,11,11,False,S196904601,EBIRD,OBS2497747346,11,P22,L152612,CL23300,Cameron Rutt
linspa,[],2024-09-29 08:42,US-IL,2,2,False,S196904601,EBIRD,OBS2497747364,2,P22,L152612,CL23300,Cameron Rutt
swaspa,[],2024-09-29 08:42,US-IL,5,5,False,S196904601,EBIRD,OBS2497747371,5,P22,L152612,CL23300,Cameron Rutt
